SitID,UWI (AGS),UWI,HorID,Pick,Quality,lat,lng
102496,0674010812000,00/12-08-067-01W4/0,13000,475,3,54.785907,-110.12932
102497,0674020807000,00/07-08-067-02W4/0,13000,515,3,54.782284,-110.269446
102498,0674021109000,00/09-11-067-02W4/0,13000,480,3,54.785892,-110.186851
102500,0674022910000,00/10-29-067-02W4/0,13000,549,3,54.829624,-110.269422
102501,0674023406000,00/06-34-067-02W4/0,13000,529,2,54.840471,-110.224832
102503,0674030411000,00/11-04-067-03W4/0,13000,488.5,2,54.771449,-110.402983
102505,0674030810000,00/10-08-067-03W4/0,13000,501.5,2,54.785901,-110.422131
102507,0674031410000,00/10-14-067-03W4/0,13000,553.5,2,54.800533,-110.345762
102514,0674032810000,00/10-28-067-03W4/0,13000,493.5,3,54.829633,-110.396621
102517,0674033607000,00/07-36-067-03W4/0,13000,536.5,2,54.840441,-110.320301
102518,0674040210000,00/10-02-067-04W4/0,13000,528,1,54.771451,-110.498414
102565,0674040710000,00/10-07-067-04W4/0,13000,514,1,54.785896,-110.599928
102577,0674042411000,00/11-24-067-04W4/0,13000,487.5,1,54.814989,-110.479147
102581,0674043307000,00/07-33-067-04W4/0,13000,509,1,54.840482,-110.549109
102583,0674050313000,00/13-03-067-05W4/0,13000,487,2,54.77509,-110.688675
102589,0674051606000,00/06-16-067-05W4/0,13000,486,1,54.796954,-110.707896
102592,0674052507000,00/07-25-067-05W4/0,13000,490.5,1,54.826012,-110.625318
102596,0674053310000,00/10-33-067-05W4/0,13000,481,1,54.844116,-110.701599
102597,0674060115000,00/15-01-067-06W4/0,13000,503,2,54.775087,-110.77791
102606,0674061706000,00/06-17-067-06W4/0,13000,492,3,54.796947,-110.885862
141727,0674062307000,00/07-23-067-06W4/0,13000,484,2,54.811402,-110.803309
102609,0674062902000,00/02-29-067-06W4/0,13000,493,2,54.822471,-110.879581
102610,0674070511000,00/11-05-067-07W4/0,13000,473,1,54.771468,-111.038407
102611,0674071306000,00/06-13-067-07W4/0,13000,493,2,54.796937,-110.936727
102614,0674072503000,00/03-25-067-07W4/0,13000,487,1,54.82246,-110.936727
102615,0674072908000,00/08-29-067-07W4/0,13000,526,3,54.826041,-111.025865
102619,0674080310000,00/10-03-067-08W4/0,13000,469,1,54.771478,-111.13386
102620,0674081306000,00/06-13-067-08W4/0,13000,494,1,54.796927,-111.089256
141732,0674082910000,00/10-29-067-08W4/0,13000,489,1,54.829658,-111.184726
102626,0674083407000,00/07-34-067-08W4/0,13000,497,1,54.840503,-111.133864
163611,0674102706000,00/06-27-067-10W4/0,13000,518,3,54.826009,-111.445246
163612,0674103109000,00/09-31-067-10W4/0,13000,523,2,54.844056,-111.508948
102630,0674110603000,00/03-06-067-11W4/0,13000,531,3,54.764109,-111.674106
163614,0674113310000,00/10-33-067-11W4/0,13000,509,2,54.844075,-111.616965
141733,0674120207000,00/07-02-067-12W4/0,13000,493,3,54.767736,-111.718675
102633,0674120508000,00/08-05-067-12W4/0,13000,446.5,3,54.767676,-111.78861
102640,0674121306000,00/06-13-067-12W4/0,13000,488,3,54.796863,-111.699581
141734,0674122208002,00/08-22-067-12W4/2,13000,445,3,54.811292,-111.737853
102656,0674130311000,00/11-03-067-13W4/0,13000,473.5,3,54.771211,-111.902778
102661,0674131104000,00/04-11-067-13W4/0,13000,468,3,54.778455,-111.883638
102666,0674133410000,00/10-34-067-13W4/0,13000,450.49,2,54.843896,-111.896572
102671,0674133611000,00/11-36-067-13W4/0,13000,466.34,2,54.843897,-111.852009
102672,0674140306000,00/06-03-067-14W4/0,13000,504,2,54.767516,-112.055371
102679,0674140812000,00/12-08-067-14W4/0,13000,469,1,54.785519,-112.112394
102681,0674141011000,00/11-10-067-14W4/0,13000,476,2,54.785555,-112.055334
102684,0674141813000,00/13-18-067-14W4/0,13000,466,3,54.803748,-112.137831
102686,0674150208000,00/08-02-067-15W4/0,13000,500,3,54.767425,-112.169807
141736,0674150610000,00/10-06-067-15W4/0,13000,508,2,54.770993,-112.277768
102698,0674152211000,00/11-22-067-15W4/0,13000,499,2,54.814564,-112.207734
102702,0674153106000,00/06-31-067-15W4/0,13000,518.16,1,54.839992,-112.284017
102710,0674160707000,00/07-07-067-16W4/0,13000,546.2,2,54.782042,-112.430364
102714,0674161211000,00/11-12-067-16W4/0,13000,534.62,2,54.785454,-112.309435
102719,0674162003000,00/03-20-067-16W4/0,13000,        ,0,54.807482,-112.411225
102743,0674163403000,00/03-34-067-16W4/0,13000,        ,0,54.836517,-112.360351
102752,0674170810000,00/10-08-067-17W4/0,13000,        ,0,54.785676,-112.557536
102754,0674171106000,00/06-11-067-17W4/0,13000,534.01,2,54.782048,-112.487492
102761,0674172013000,00/13-20-067-17W4/0,13000,        ,0,54.818389,-112.570115
102774,0674173207000,00/07-32-067-17W4/0,13000,        ,0,54.840261,-112.557543
102780,0674180314000,00/14-03-067-18W4/0,13000,        ,0,54.774904,-112.665458
102785,0674181011000,00/11-10-067-18W4/0,13000,535,2,54.785734,-112.66546
102798,0674182608000,00/08-26-067-18W4/0,13000,        ,0,54.825775,-112.627548
102802,0674183010000,00/10-30-067-18W4/0,13000,519.99,2,54.829416,-112.73538
103698,0684010811000,00/11-08-068-01W4/0,13000,544,1,54.873181,-110.123115
103699,0684020810000,00/10-08-068-02W4/0,13000,572,1,54.873181,-110.269399
103700,0684021109000,00/09-11-068-02W4/0,13000,514,2,54.873176,-110.186834
103703,0684022606000,00/06-26-068-02W4/0,13000,541,2,54.913308,-110.199382
103704,0684022911000,00/11-29-068-02W4/0,13000,552.5,2,54.916925,-110.275652
103707,0684030509000,00/09-05-068-03W4/0,13000,507.5,1,54.858728,-110.41574
103710,0684031306000,00/06-13-068-03W4/0,13000,546,2,54.884202,-110.326522
103711,0684031607000,00/07-16-068-03W4/0,13000,528,1,54.884217,-110.396549
103713,0684032810000,00/10-28-068-03W4/0,13000,552,1,54.916935,-110.396506
103715,0684040211000,00/11-02-068-04W4/0,13000,511,1,54.85873,-110.504559
103717,0684040906000,00/06-09-068-04W4/0,13000,497.5,1,54.869577,-110.555355
103723,0684042610000,00/10-26-068-04W4/0,13000,531,1,54.916928,-110.498201
103724,0684042906000,00/06-29-068-04W4/0,13000,510.5,2,54.913303,-110.580733
103729,0684050807000,00/07-08-068-05W4/0,13000,502,1,54.869595,-110.727018
103730,0684051207000,00/07-12-068-05W4/0,13000,494,1,54.86956,-110.625306
103732,0684051611000,00/11-16-068-05W4/0,13000,490,1,54.887844,-110.707861
103734,0684052615000,00/15-26-068-05W4/0,13000,523,3,54.920534,-110.650717
103738,0684060107000,00/07-01-068-06W4/0,13000,492,1,54.85513,-110.777878
